Åland Islands,29013
Albania,3029278
Andorra,85580
Belarus,9589689
Belgium,11323973
Bosnia and Herzegovina,3867055
Bulgaria,7186893
Denmark,5581503
Germany,80854408
Estonia,1265420
Faroe Islands,50196
Finland,5476922
France,66553766
Gibraltar,29258
Greece,10775643
Guernsey,66080
Isle of Man,87545
Ireland,4892305
Iceland,331918
Italy,61855120
Jersey,97294
Kosovo,1870981
Croatia,4464844
Latvia,1986705
Liechtenstein,37624
Lithuania,2884433
Luxembourg,570252
Malta,413965
Macedonia,2096015
Moldova,3546847
Monaco,30535
Montenegro,647073
Netherlands,16947904
Norway,5207689
Austria,8665550
Poland,38562189
Portugal,10825309
Romania,21666350
Russia,142423773
San Marino,33020
Sweden,9801616
Switzerland,8121830
Serbia,7176794
Slovakia,5445027
Slovenia,1983412
Spain,48146134
Svalbard,1872
Czech Republic,10644842
Ukraine,44429471
Hungary,9897541
Holy See (Vatican City),842
United Kingdom,64088222
