Aruba,ABW,69.5
Afghanistan,AFG,53.5
Angola,AGO,50.0
Albania,ALB,69.1
Arab World,ARB,62.4
United Arab Emirates,ARE,84.9
Argentina,ARG,63.9
Armenia,ARM,70.8
Antigua and Barbuda,ATG,68.7
Australia,AUS,66.3
Austria,AUT,67.0
Azerbaijan,AZE,72.5
Burundi,BDI,52.7
Belgium,BEL,64.8
Benin,BEN,55.0
Burkina Faso,BFA,52.0
Bangladesh,BGD,65.6
Bulgaria,BGR,65.8
Bahrain,BHR,76.1
Bahamas,BHS,70.9
Bosnia and Herzegovina,BIH,71.1
Belarus,BLR,70.0
Belize,BLZ,63.8
Bolivia,BOL,61.1
Brazil,BRA,69.1
Barbados,BRB,66.5
Brunei Darussalam,BRN,72.5
Bhutan,BTN,68.1
Botswana,BWA,64.4
Central African Republic,CAF,57.1
Canada,CAN,67.9
Central Europe and the Baltics,CEB,68.0
Switzerland,CHE,67.2
Channel Islands,CHI,68.0
Chile,CHL,68.9
China,CHN,73.2
Cote d'Ivoire,CIV,54.5
Cameroon,CMR,54.3
Congo,COG,53.7
Colombia,COL,68.7
Comoros,COM,56.9
Cabo Verde,CPV,65.8
Costa Rica,CRI,68.8
Caribbean small states,CSS,67.6
Cuba,CUB,69.7
Curacao,CUW,66.2
Cyprus,CYP,70.6
Czech Republic,CZE,66.9
Germany,DEU,65.9
Djibouti,DJI,63.1
Denmark,DNK,64.2
Dominican Republic,DOM,63.4
Algeria,DZA,65.5
East Asia & Pacific (excluding high income),EAP,71.3
Early-demographic dividend,EAR,64.6
East Asia & Pacific,EAS,70.7
Europe & Central Asia (excluding high income),ECA,68.5
Europe & Central Asia,ECS,66.7
Ecuador,ECU,64.3
Egypt,EGY,61.8
Euro area,EMU,64.8
Spain,ESP,66.3
Estonia,EST,65.2
Ethiopia,ETH,55.1
European Union,EUU,65.3
Fragile and conflict affected situations,FCS,56.2
Finland,FIN,63.2
Fiji,FJI,65.4
France,FRA,62.4
Micronesia,FSM,61.2
Gabon,GAB,57.8
United Kingdom,GBR,64.5
Georgia,GEO,68.6
Ghana,GHA,57.8
Guinea,GIN,54.4
Gambia,GMB,51.3
Guinea-Bissau,GNB,56.0
Equatorial Guinea,GNQ,57.9
Greece,GRC,64.0
Grenada,GRD,66.4
Guatemala,GTM,58.5
Guam,GUM,65.8
Guyana,GUY,66.2
High income,HIC,66.0
Hong Kong SAR,HKG,73.6
Honduras,HND,63.4
Heavily indebted poor countries (HIPC),HPC,53.5
Croatia,HRV,66.2
Haiti,HTI,61.6
Hungary,HUN,67.6
IBRD only,IBD,68.3
IDA & IBRD total,IBT,65.6
IDA total,IDA,57.9
IDA blend,IDB,60.0
Indonesia,IDN,67.1
IDA only,IDX,56.8
India,IND,65.6
Ireland,IRL,65.1
Iran,IRN,71.5
Iraq,IRQ,56.0
Iceland,ISL,66.0
Israel,ISR,60.9
Italy,ITA,63.9
Jamaica,JAM,67.3
Jordan,JOR,60.7
Japan,JPN,60.8
Kazakhstan,KAZ,66.5
Kenya,KEN,55.3
Kyrgyz Republic,KGZ,64.4
Cambodia,KHM,64.3
Kiribati,KIR,61.3
Korea,KOR,73.0
Kosovo,KSV,67.6
Kuwait,KWT,75.7
Latin America & Caribbean (excluding high income),LAC,66.6
Lao PDR,LAO,61.4
Lebanon,LBN,67.9
Liberia,LBR,54.7
Libya,LBY,65.6
St. Lucia,LCA,67.9
Latin America & Caribbean,LCN,66.7
Least developed countries: UN classification,LDC,56.4
Low income,LIC,53.8
Sri Lanka,LKA,66.1
Lower middle income,LMC,63.8
Low & middle income,LMY,65.6
Lesotho,LSO,59.8
Late-demographic dividend,LTE,71.8
Lithuania,LTU,66.6
Luxembourg,LUX,69.6
Latvia,LVA,65.7
Macao SAR,MAC,78.7
Morocco,MAR,66.6
Moldova,MDA,74.3
Madagascar,MDG,55.5
Maldives,MDV,67.8
Middle East & North Africa,MEA,65.0
Mexico,MEX,65.9
Middle income,MIC,66.9
Macedonia,MKD,70.8
Mali,MLI,50.0
Malta,MLT,66.3
Myanmar,MMR,67.1
Middle East & North Africa (excluding high income),MNA,63.9
Montenegro,MNE,67.7
Mongolia,MNG,67.7
Mozambique,MOZ,51.3
Mauritania,MRT,56.8
Mauritius,MUS,71.1
Malawi,MWI,51.4
Malaysia,MYS,69.1
North America,NAC,66.4
Namibia,NAM,59.8
New Caledonia,NCL,67.6
Niger,NER,47.0
Nigeria,NGA,53.3
Nicaragua,NIC,64.9
Netherlands,NLD,65.2
Norway,NOR,65.7
Nepal,NPL,61.8
New Zealand,NZL,64.9
OECD members,OED,65.6
Oman,OMN,76.9
Other small states,OSS,63.6
Pakistan,PAK,60.5
Panama,PAN,65.2
Peru,PER,65.3
Philippines,PHL,63.5
Papua New Guinea,PNG,59.8
Poland,POL,69.5
Pre-demographic dividend,PRE,52.8
Puerto Rico,PRI,66.7
Korea,PRK,69.0
Portugal,PRT,65.2
Paraguay,PRY,63.8
Pacific island small states,PSS,61.1
Post-demographic dividend,PST,65.7
French Polynesia,PYF,70.3
Qatar,QAT,83.3
Romania,ROU,67.2
Russian Federation,RUS,69.9
Rwanda,RWA,56.2
South Asia,SAS,64.8
Saudi Arabia,SAU,68.6
Sudan,SDN,56.2
Senegal,SEN,53.3
Singapore,SGP,72.8
Solomon Islands,SLB,57.1
